2025-05-28 19:30:29 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-28 19:30:29 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-28 19:30:29 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-28 19:30:29 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 05:50:20 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 05:50:20 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 05:51:18 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 05:51:18 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 05:58:33 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 05:58:33 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 05:58:57 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 05:58:57 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:07:59 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:07:59 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:08:37 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:08:37 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:13:33 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:13:33 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:17:42 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:17:42 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:38:15 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:38:15 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:39:31 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:39:31 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:43:25 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:43:25 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:47:32 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:47:32 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:48:23 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:48:23 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:48:23 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 10:48:23 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 10:48:29 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:48:29 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:49:22 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:49:22 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:51:30 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:51:30 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:57:09 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:57:09 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 10:58:07 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 10:58:07 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 11:19:58 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
